site_name,ff_funded,has_changing_rooms,Travel from Tooting,Travel from Clapham South,Travel from Streatham,Travel from Tulse Hill,Travel from London Bridge,Average Travel Time,Rounded Travel Time,Travel from Tooting (mins),Travel from Clapham South (mins),Travel from Streatham (mins),Travel from Tulse Hill (mins),Travel from London Bridge (mins),id,lat,lng,has_parking,is_publicly_bookable,number_grass_pitches,number_artificial_pitches,number_floodlit_pitches,Link,JC Shortlist,AI Shortlist,AH Shortlist,TR Shortlist,Exclude,Status,Notes,Extra notes,Who,rank,Image
SHOREDITCH PARK,FALSE,FALSE,41 mins,35 mins,56 mins,53 mins,25 mins,46.25,50.00,41.00,35.00,56.00,53.00,25.00,6014642,51.533341,-0.084789,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/6014642,,,,,,,,,,135,
REGENT'S PARK - THE HUB,TRUE,TRUE,49 mins,41 mins,51 mins,45 mins,26 mins,46.50,50.00,49.00,41.00,51.00,45.00,26.00,1202005,51.525546,-0.153731,FALSE,TRUE,27,0,0,https://pitchfinder.org.uk/map/site/1202005,,,,,,,,,,136,
FORDHAM PARK,FALSE,FALSE,42 mins,35 mins,56 mins,54 mins,17 mins,46.75,50.00,42.00,35.00,56.00,54.00,17.00,6002400,51.477653,-0.03647,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/6002400,,,,,,,,,,137,
ROSEHILL PARK,FALSE,TRUE,31 mins,40 mins,1 hour 1 min,59 mins,55 mins,47.75,50.00,31.00,40.00,61.00,59.00,55.00,1013998,51.377243,-0.195156,TRUE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/1013998,,,,,,,,,,138,
DULWICH SPORTS GROUND,TRUE,TRUE,50 mins,32 mins,28 mins,28 mins,38 mins,34.50,30.00,50.00,32.00,28.00,28.00,38.00,6019518,51.446373,-0.091252,TRUE,TRUE,17,0,0,https://pitchfinder.org.uk/map/site/6019518,,,,,,Enquiring,Grass pitches with club house and a community feel. Big ground very open with lots of sports going on at once. May need to put Lacrosse somewhere sensisble.,Emailed 28/07.,Ridings V2,31,
WIMBLEDON HIGH SCHOOL SPORT GROUND,FALSE,TRUE,32 mins,33 mins,53 mins,47 mins,50 mins,41.25,40.00,32.00,33.00,53.00,47.00,50.00,1201370,51.416143,-0.216221,TRUE,FALSE,0,1,1,https://pitchfinder.org.uk/map/site/1201370,,,Y,Y,,Enquiring,"90x40m, Sand-based",,Jack,35,
PECKHAM RYE PARK,TRUE,TRUE,54 mins,56 mins,41 mins,41 mins,35 mins,48.00,50.00,54.00,56.00,41.00,41.00,35.00,6019462,51.456596,-0.057635,TRUE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/6019462,,,,,,,,,,139,
TOLWORTH COURT GROUND,FALSE,TRUE,44 mins,48 mins,45 mins,55 mins,50 mins,48.00,50.00,44.00,48.00,45.00,55.00,50.00,1200420,51.375457,-0.274629,TRUE,TRUE,14,0,0,https://pitchfinder.org.uk/map/site/1200420,,,,,,,,,,140,
BATTERSEA PARK,FALSE,TRUE,51 mins,37 mins,56 mins,49 mins,38 mins,48.25,50.00,51.00,37.00,56.00,49.00,38.00,1202481,51.479302,-0.158182,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1202481,,,,,,,,,,141,
WIMBLEDON PARK,FALSE,TRUE,39 mins,47 mins,55 mins,53 mins,57 mins,48.50,50.00,39.00,47.00,55.00,53.00,57.00,1040513,51.439306,-0.205732,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1040513,,,,,,,,,,142,
KING GEORGES PLAYING FIELDS (MORDEN),FALSE,TRUE,31 mins,43 mins,54 mins,1 hour 6 mins,56 mins,48.50,50.00,31.00,43.00,54.00,66.00,56.00,6016974,51.386696,-0.216541,TRUE,TRUE,12,0,0,https://pitchfinder.org.uk/map/site/6016974,,,,,,,,,,143,
REIGATE AVENUE RECREATION GROUND,FALSE,FALSE,37 mins,36 mins,59 mins,1 hour 3 mins,59 mins,48.75,50.00,37.00,36.00,59.00,63.00,59.00,6002150,51.38214,-0.199463,FALSE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6002150,,,,,,,,,,144,
