site_name,ff_funded,has_changing_rooms,Travel from Tooting,Travel from Clapham South,Travel from Streatham,Travel from Tulse Hill,Travel from London Bridge,Average Travel Time,Rounded Travel Time,Travel from Tooting (mins),Travel from Clapham South (mins),Travel from Streatham (mins),Travel from Tulse Hill (mins),Travel from London Bridge (mins),id,lat,lng,has_parking,is_publicly_bookable,number_grass_pitches,number_artificial_pitches,number_floodlit_pitches,Link,JC Shortlist,AI Shortlist,AH Shortlist,TR Shortlist,Exclude,Status,Notes,Extra notes,Who,rank,Image
THE JOHN ROAN SCHOOL PLAYING FIELDS,FALSE,TRUE,55 mins,48 mins,1 hour 6 mins,1 hour 12 mins,41 mins,60.25,60.00,55.00,48.00,66.00,72.00,41.00,6021293,51.456159,0.025314,TRUE,TRUE,4,1,1,https://pitchfinder.org.uk/map/site/6021293,,,,,,,,,,190,
ROYAL DOCKS ACADEMY,FALSE,TRUE,56 mins,50 mins,58 mins,58 mins,#ERROR!,55.50,60.00,56.00,50.00,58.00,58.00,#ERROR!,1007952,51.510991,0.034999,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1007952,,,,,,,,,,191,
PRENDERGAST LADYWELL SCHOOL,TRUE,TRUE,56 mins,50 mins,1 hour 7 mins,57 mins,37 mins,57.50,60.00,56.00,50.00,67.00,57.00,37.00,1002247,51.450246,-0.027159,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1002247,,,,,,,,,,192,
CHEAM HIGH SCHOOL,FALSE,TRUE,40 mins,43 mins,1 hour 2 mins,1 hour 15 mins,59 mins,55.00,60.00,40.00,43.00,62.00,75.00,59.00,1002233,51.366432,-0.217669,TRUE,TRUE,0,2,0,https://pitchfinder.org.uk/map/site/1002233,,,,,,,,,,193,
THE HARRODIAN SCHOOL,FALSE,TRUE,1 hour 0 mins,53 mins,1 hour 6 mins,59 mins,1 hour 6 mins,59.50,60.00,60.00,53.00,66.00,59.00,66.00,1201697,51.481645,-0.244658,TRUE,FALSE,7,2,0,https://pitchfinder.org.uk/map/site/1201697,,,,,,,,,,194,
BLACKHEATH RFC (WELL HALL),FALSE,TRUE,56 mins,49 mins,1 hour 8 mins,1 hour 16 mins,46 mins,62.25,60.00,56.00,49.00,68.00,76.00,46.00,1040924,51.457896,0.047164,TRUE,TRUE,7,1,1,https://pitchfinder.org.uk/map/site/1040924,,,,,,,,,,195,
WEIR ARCHER ATHLETICS AND FITNESS CENTRE,FALSE,TRUE,57 mins,1 hour 2 mins,46 mins,1 hour 1 min,56 mins,56.50,60.00,57.00,62.00,46.00,61.00,56.00,1002316,51.405251,-0.283578,TRUE,TRUE,1,2,3,https://pitchfinder.org.uk/map/site/1002316,,,,,,,,,,196,
dat,TRUE,TRUE,57 mins,50 mins,57 mins,57 mins,#ERROR!,55.25,60.00,57.00,50.00,57.00,57.00,#ERROR!,6008056,51.477448,-0.25584,TRUE,TRUE,12,2,2,https://pitchfinder.org.uk/map/site/6008056,,,,,,,,,,197,
CRYSTAL PALACE FC ACADEMY,FALSE,TRUE,57 mins,50 mins,1 hour 8 mins,51 mins,31 mins,56.50,60.00,57.00,50.00,68.00,51.00,31.00,6006916,51.421472,-0.030498,TRUE,FALSE,3,2,1,https://pitchfinder.org.uk/map/site/6006916,,,,,,,,,,198,
TEDDINGTON SPORTS CENTRE,FALSE,TRUE,57 mins,1 hour 1 min,52 mins,1 hour 7 mins,1 hour 2 mins,59.25,60.00,57.00,61.00,52.00,67.00,62.00,1002406,51.423294,-0.310132,TRUE,TRUE,0,2,1,https://pitchfinder.org.uk/map/site/1002406,,,,,,,,,,199,
FOOTS CRAY RUGBY SPORTS AND ATHLETIC CLUB,TRUE,TRUE,57 mins,50 mins,1 hour 4 mins,1 hour 15 mins,37 mins,61.50,60.00,57.00,50.00,64.00,75.00,37.00,30005630,51.443787,0.069195,TRUE,TRUE,7,1,1,https://pitchfinder.org.uk/map/site/30005630,,,,,,,,,,200,
THE TIFFIN GIRLS' SCHOOL,TRUE,TRUE,57 mins,1 hour 8 mins,52 mins,1 hour 11 mins,1 hour 1 min,62.00,60.00,57.00,68.00,52.00,71.00,61.00,1010261,51.425571,-0.302934,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1010261,,,,,,,,,,201,
BRENTFORD COMMUNITY STADIUM,FALSE,TRUE,57 mins,51 mins,57 mins,57 mins,52 mins,55.50,60.00,57.00,51.00,57.00,57.00,52.00,30009098,51.49078,-0.28852,FALSE,FALSE,1,0,1,https://pitchfinder.org.uk/map/site/30009098,,,,,,,,,,202,
LONDON MARATHON COMMUNITY TRACK,FALSE,TRUE,57 mins,51 mins,1 hour 9 mins,1 hour 9 mins,#ERROR!,61.50,60.00,57.00,51.00,69.00,69.00,#ERROR!,30009812,51.536831,-0.016758,TRUE,TRUE,1,0,1,https://pitchfinder.org.uk/map/site/30009812,,,,,,,,,,203,
ELTHAM COLLEGE (COLLEGE MEADOW PAVILION),FALSE,TRUE,59 mins,48 mins,1 hour 1 min,1 hour 5 mins,34 mins,58.25,60.00,59.00,48.00,61.00,65.00,34.00,30009162,51.434214,0.029643,TRUE,FALSE,0,1,1,https://pitchfinder.org.uk/map/site/30009162,,,,,,,,,,204,
WHITGIFT SPORTS CENTRE,FALSE,TRUE,59 mins,52 mins,1 hour 5 mins,1 hour 15 mins,38 mins,62.75,60.00,59.00,52.00,65.00,75.00,38.00,1200350,51.359847,-0.101457,TRUE,TRUE,3,1,1,https://pitchfinder.org.uk/map/site/1200350,,,,,,,,,,205,
LEE VALLEY HOCKEY AND TENNIS CENTRE,FALSE,TRUE,1 hour 0 mins,53 mins,1 hour 10 mins,1 hour 10 mins,44 mins,63.25,60.00,60.00,53.00,70.00,70.00,44.00,1039386,51.553532,-0.014672,TRUE,TRUE,0,2,2,https://pitchfinder.org.uk/map/site/1039386,,,,,,,,,,206,
CHISLEHURST AND SIDCUP GRAMMAR SCHOOL,FALSE,TRUE,1 hour 0 mins,48 mins,1 hour 1 min,1 hour 5 mins,34 mins,58.50,60.00,60.00,48.00,61.00,65.00,34.00,1009851,51.435793,0.107782,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1009851,,,,,,,,,,207,
OASIS ACADEMY SHIRLEY PARK,FALSE,TRUE,1 hour 0 mins,53 mins,1 hour 4 mins,1 hour 1 min,34 mins,59.50,60.00,60.00,53.00,64.00,61.00,34.00,1201220,51.383077,-0.063145,TRUE,TRUE,4,1,1,https://pitchfinder.org.uk/map/site/1201220,,,,,,,,,,208,
OLD ACTONIANS (BODDINGTON GARDENS),TRUE,TRUE,1 hour 0 mins,52 mins,1 hour 8 mins,1 hour 3 mins,45 mins,60.75,60.00,60.00,52.00,68.00,63.00,45.00,1040494,51.503885,-0.284883,TRUE,TRUE,5,1,1,https://pitchfinder.org.uk/map/site/1040494,,,,,,,,,,209,
LEYTON SPORTS GROUND,FALSE,TRUE,1 hour 0 mins,51 mins,1 hour 18 mins,1 hour 7 mins,41 mins,64.00,60.00,60.00,51.00,78.00,67.00,41.00,6021338,51.566935,-0.011696,TRUE,TRUE,2,0,2,https://pitchfinder.org.uk/map/site/6021338,,,,,,,,,,210,
QUEENS PARK RANGERS (LOFTUS ROAD),FALSE,TRUE,1 hour 0 mins,54 mins,1 hour 4 mins,55 mins,42 mins,58.25,60.00,60.00,54.00,64.00,55.00,42.00,30003651,51.509692,-0.232109,FALSE,FALSE,1,0,1,https://pitchfinder.org.uk/map/site/30003651,,,,,,,,,,211,
RAVENSBOURNE SCHOOL,FALSE,TRUE,1 hour 1 min,54 mins,55 mins,52 mins,58 mins,55.50,60.00,61.00,54.00,55.00,52.00,58.00,1009391,51.394017,0.020704,TRUE,TRUE,2,1,1,https://pitchfinder.org.uk/map/site/1009391,,,,,,,,,,212,
METROGAS AMATEUR SPORTS ASSOCIATION LTD,TRUE,TRUE,1 hour 1 min,50 mins,1 hour 3 mins,1 hour 7 mins,36 mins,60.25,60.00,61.00,50.00,63.00,67.00,36.00,1040013,51.4434,0.077885,TRUE,TRUE,4,1,1,https://pitchfinder.org.uk/map/site/1040013,,,,,,,,,,213,
TEDDINGTON LOCK PLAYING FIELDS,FALSE,TRUE,1 hour 1 min,1 hour 5 mins,56 mins,1 hour 11 mins,1 hour 10 mins,63.25,60.00,61.00,65.00,56.00,71.00,70.00,6002999,51.426411,-0.319907,TRUE,TRUE,4,1,1,https://pitchfinder.org.uk/map/site/6002999,,,,,,,,,,214,
CHARLTON ATHLETIC FC TRAINING GROUND,TRUE,TRUE,1 hour 2 mins,51 mins,1 hour 4 mins,1 hour 8 mins,37 mins,61.25,60.00,62.00,51.00,64.00,68.00,37.00,30007597,51.444937,0.070933,TRUE,FALSE,5,2,2,https://pitchfinder.org.uk/map/site/30007597,,,,,,,,,,215,
ST PAULS WAY TRUST SCHOOL,FALSE,TRUE,1 hour 2 mins,45 mins,1 hour 8 mins,1 hour 3 mins,36 mins,59.50,60.00,62.00,45.00,68.00,63.00,36.00,1042752,51.518642,-0.024593,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1042752,,,,,,,,,,216,
HABERDASHERS' ASKE'S KNIGHTS ACADEMY,FALSE,TRUE,1 hour 2 mins,50 mins,1 hour 4 mins,1 hour 12 mins,37 mins,62.00,60.00,62.00,50.00,64.00,72.00,37.00,1002336,51.427913,0.01646,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1002336,,,,,,,,,,217,
ACTONIANS SPORTS CLUB,TRUE,TRUE,1 hour 2 mins,58 mins,1 hour 10 mins,1 hour 3 mins,47 mins,63.25,60.00,62.00,58.00,70.00,63.00,47.00,1036190,51.501486,-0.288748,TRUE,TRUE,3,0,2,https://pitchfinder.org.uk/map/site/1036190,,,,,,,,,,218,
BECKENHAM TOWN FOOTBALL CLUB,TRUE,TRUE,1 hour 2 mins,56 mins,59 mins,52 mins,36 mins,57.25,60.00,62.00,56.00,59.00,52.00,36.00,6000699,51.391978,-0.028516,TRUE,TRUE,2,0,1,https://pitchfinder.org.uk/map/site/6000699,,,,,,,,,,219,
WESTWAY SPORTS & FITNESS CENTRE,TRUE,TRUE,1 hour 3 mins,55 mins,1 hour 7 mins,59 mins,#ERROR!,61.00,60.00,63.00,55.00,67.00,59.00,#ERROR!,1002435,51.516199,-0.219938,TRUE,TRUE,0,8,8,https://pitchfinder.org.uk/map/site/1002435,,,,,,,,,,220,
BROMLEY FOOTBALL CLUB (HAYES LANE),TRUE,TRUE,1 hour 3 mins,57 mins,57 mins,54 mins,1 hour 3 mins,57.75,60.00,63.00,57.00,57.00,54.00,63.00,6006395,51.390039,0.0204,TRUE,TRUE,0,3,3,https://pitchfinder.org.uk/map/site/6006395,,,,,,,,,,221,
ARK BURLINGTON DANES ACADEMY,FALSE,TRUE,1 hour 3 mins,55 mins,1 hour 10 mins,1 hour 2 mins,47 mins,62.50,60.00,63.00,55.00,70.00,62.00,47.00,1200384,51.518921,-0.229892,TRUE,TRUE,2,1,1,https://pitchfinder.org.uk/map/site/1200384,,,,,,,,,,222,
CHARLTON ATHLETIC COMMUNITY TRUST,TRUE,TRUE,1 hour 3 mins,52 mins,1 hour 5 mins,1 hour 17 mins,38 mins,64.25,60.00,63.00,52.00,65.00,77.00,38.00,1035945,51.444637,0.06882,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1035945,,,,,,,,,,223,
WEMBLEY STADIUM,FALSE,TRUE,1 hour 3 mins,56 mins,1 hour 10 mins,1 hour 3 mins,44 mins,63.00,60.00,63.00,56.00,70.00,63.00,44.00,30006416,51.556692,-0.279666,TRUE,FALSE,1,0,1,https://pitchfinder.org.uk/map/site/30006416,,,,,,,,,,224,
LINFORD CHRISTIE OUTDOOR SPORTS CENTRE,TRUE,TRUE,1 hour 4 mins,1 hour 1 min,1 hour 11 mins,1 hour 3 mins,#ERROR!,64.75,60.00,64.00,61.00,71.00,63.00,#ERROR!,1002845,51.519985,-0.235938,TRUE,TRUE,1,5,6,https://pitchfinder.org.uk/map/site/1002845,,,,,,,,,,225,
BROMLEY HIGH SCHOOL,FALSE,TRUE,1 hour 4 mins,58 mins,1 hour 6 mins,54 mins,42 mins,60.50,60.00,64.00,58.00,66.00,54.00,42.00,1201069,51.3953,0.057102,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1201069,,,,,,,,,,226,
LATYMER UPPER SCHOOL PLAYING FIELDS,FALSE,TRUE,1 hour 4 mins,58 mins,1 hour 8 mins,59 mins,45 mins,62.25,60.00,64.00,58.00,68.00,59.00,45.00,30004357,51.518674,-0.228432,TRUE,FALSE,4,1,1,https://pitchfinder.org.uk/map/site/30004357,,,,,,,,,,227,
CHELSEA FC (KINGSMEADOW),FALSE,TRUE,1 hour 4 mins,1 hour 1 min,46 mins,1 hour 0 mins,56 mins,57.75,60.00,64.00,61.00,46.00,60.00,56.00,1202946,51.405015,-0.283221,TRUE,FALSE,1,0,1,https://pitchfinder.org.uk/map/site/1202946,,,,,,,,,,228,
CLUB LANGLEY,FALSE,TRUE,1 hour 5 mins,58 mins,1 hour 3 mins,1 hour 6 mins,39 mins,63.00,60.00,65.00,58.00,63.00,66.00,39.00,6006972,51.38652,-0.019984,TRUE,TRUE,7,2,2,https://pitchfinder.org.uk/map/site/6006972,,,,,,,,,,229,
DOWNHAM HEALTH & LEISURE CENTRE,FALSE,TRUE,1 hour 5 mins,54 mins,1 hour 2 mins,1 hour 12 mins,40 mins,63.25,60.00,65.00,54.00,62.00,72.00,40.00,1002840,51.426082,0.012021,TRUE,TRUE,4,1,1,https://pitchfinder.org.uk/map/site/1002840,,,,,,,,,,230,
ORLEANS PARK SCHOOL,TRUE,TRUE,49 mins,51 mins,1 hour 14 mins,58 mins,50 mins,58.00,60.00,49.00,51.00,74.00,58.00,50.00,1007949,51.449499,-0.32031,TRUE,TRUE,0,1,0,https://pitchfinder.org.uk/map/site/1007949,,,,,,,,,,231,
UNIVERSITY OF GREENWICH (SPARROWS FARM),FALSE,TRUE,59 mins,48 mins,1 hour 1 min,1 hour 5 mins,34 mins,58.25,60.00,59.00,48.00,61.00,65.00,34.00,1002393,51.44393,0.074612,TRUE,TRUE,4,1,0,https://pitchfinder.org.uk/map/site/1002393,,,,,,,,,,232,
WEST THAMES COLLEGE,FALSE,TRUE,1 hour 2 mins,55 mins,1 hour 0 mins,1 hour 1 min,1 hour 6 mins,59.50,60.00,62.00,55.00,60.00,61.00,66.00,1200510,51.475199,-0.342176,TRUE,FALSE,1,1,0,https://pitchfinder.org.uk/map/site/1200510,,,,,,,,,,233,
ST PAULS SCHOOL,FALSE,TRUE,58 mins,57 mins,1 hour 6 mins,1 hour 0 mins,48 mins,60.25,60.00,58.00,57.00,66.00,60.00,48.00,1002977,51.487695,-0.237441,TRUE,TRUE,8,1,0,https://pitchfinder.org.uk/map/site/1002977,,,,,,,,,,234,
SHREWSBURY HOUSE SCHOOL,FALSE,TRUE,54 mins,1 hour 1 min,54 mins,1 hour 15 mins,52 mins,61.00,60.00,54.00,61.00,54.00,75.00,52.00,30005887,51.380295,-0.3055,TRUE,FALSE,0,1,0,https://pitchfinder.org.uk/map/site/30005887,,,,,,,,,,235,
SYDENHAM HIGH SCHOOL GDST,FALSE,TRUE,1 hour 22 mins,1 hour 1 min,50 mins,53 mins,37 mins,61.50,60.00,82.00,61.00,50.00,53.00,37.00,1200675,51.426351,-0.064265,TRUE,TRUE,0,1,0,https://pitchfinder.org.uk/map/site/1200675,,,,,,,,,,236,
THE SWEDISH SCHOOL,FALSE,TRUE,1 hour 5 mins,56 mins,1 hour 8 mins,1 hour 1 min,1 hour 6 mins,62.50,60.00,65.00,56.00,68.00,61.00,66.00,1201350,51.485187,-0.244622,FALSE,FALSE,0,1,0,https://pitchfinder.org.uk/map/site/1201350,,,,,,,,,,237,
CROYDON SPORTS ARENA,FALSE,TRUE,1 hour 5 mins,59 mins,46 mins,1 hour 0 mins,33 mins,57.50,60.00,65.00,59.00,46.00,60.00,33.00,1007111,51.393286,-0.060544,TRUE,TRUE,1,0,1,https://pitchfinder.org.uk/map/site/1007111,,,,,,,,,,238,
TRINITY SCHOOL (TRINITY SPORTS CLUB),FALSE,TRUE,1 hour 6 mins,59 mins,46 mins,58 mins,42 mins,57.25,60.00,66.00,59.00,46.00,58.00,42.00,1007955,51.374524,-0.060591,TRUE,TRUE,1,2,2,https://pitchfinder.org.uk/map/site/1007955,,,,,,,,,,239,
TEN-EM-BEE SPORTS DEVELOPMENT CENTRE,TRUE,TRUE,1 hour 6 mins,1 hour 3 mins,55 mins,1 hour 9 mins,45 mins,63.25,60.00,66.00,63.00,55.00,69.00,45.00,1202112,51.420295,-0.00558,TRUE,TRUE,4,1,1,https://pitchfinder.org.uk/map/site/1202112,,,,,,,,,,240,
LANGLEY PARK SPORTS CENTRE,FALSE,TRUE,1 hour 7 mins,1 hour 1 min,1 hour 6 mins,59 mins,41 mins,63.25,60.00,67.00,61.00,66.00,59.00,41.00,1002147,51.388426,-0.017827,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1002147,,,,,,,,,,241,
PRIORY SCHOOL,FALSE,TRUE,43 mins,46 mins,25 mins,33 mins,44 mins,36.75,40.00,43.00,46.00,25.00,33.00,44.00,1042368,51.419672,-0.095686,TRUE,FALSE,0,1,0,https://pitchfinder.org.uk/map/site/1042368,,,,,,Enquiring,Grass pitches. Unsure where these fields are but they are listed so will make an enquiry with the school and see.,Emailed 28/07.,Ridings V2,45,
CROYDON SPORTS CLUB,FALSE,TRUE,1 hour 7 mins,1 hour 1 min,59 mins,1 hour 7 mins,41 mins,63.50,60.00,67.00,61.00,59.00,67.00,41.00,1007941,51.341246,-0.061708,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1007941,,,,,,,,,,242,
ISLEWORTH AND SYON SCHOOL FOR BOYS,FALSE,TRUE,1 hour 7 mins,1 hour 0 mins,1 hour 5 mins,1 hour 6 mins,1 hour 2 mins,64.50,60.00,67.00,60.00,65.00,66.00,62.00,1200904,51.480581,-0.341452,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1200904,,,,,,,,,,243,
CROYGAS SPORTS CLUB,TRUE,TRUE,1 hour 8 mins,1 hour 13 mins,52 mins,1 hour 4 mins,50 mins,64.25,60.00,68.00,73.00,52.00,64.00,50.00,1202309,51.356801,-0.1313,TRUE,TRUE,3,1,1,https://pitchfinder.org.uk/map/site/1202309,,,,,,,,,,244,
BISHOP JUSTUS C OF E SCHOOL,TRUE,TRUE,1 hour 9 mins,1 hour 5 mins,1 hour 1 min,1 hour 2 mins,48 mins,64.25,60.00,69.00,65.00,61.00,62.00,48.00,1038248,51.382452,0.045072,TRUE,TRUE,2,2,2,https://pitchfinder.org.uk/map/site/1038248,,,,,,,,,,245,
SHENE SPORTS & FITNESS CENTRE,FALSE,TRUE,1 hour 9 mins,1 hour 3 mins,1 hour 3 mins,56 mins,54 mins,62.75,60.00,69.00,63.00,63.00,56.00,54.00,1002385,51.462792,-0.260031,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1002385,,,,,,,,,,246,
EDEN PARK HIGH SCHOOL,FALSE,TRUE,1 hour 10 mins,1 hour 3 mins,1 hour 2 mins,59 mins,43 mins,63.50,60.00,70.00,63.00,62.00,59.00,43.00,30009690,51.394253,-0.0392,TRUE,FALSE,1,1,1,https://pitchfinder.org.uk/map/site/30009690,,,,,,,,,,247,
ROYAL RUSSELL SCHOOL,FALSE,TRUE,1 hour 11 mins,59 mins,48 mins,1 hour 1 min,46 mins,59.75,60.00,71.00,59.00,48.00,61.00,46.00,1007953,51.357607,-0.065714,TRUE,TRUE,5,2,2,https://pitchfinder.org.uk/map/site/1007953,,,,,,,,,,248,
BANK OF ENGLAND SPORTS CENTRE,TRUE,TRUE,1 hour 11 mins,55 mins,58 mins,1 hour 3 mins,1 hour 0 mins,61.75,60.00,71.00,55.00,58.00,63.00,60.00,1014569,51.459336,-0.254183,TRUE,TRUE,4,1,1,https://pitchfinder.org.uk/map/site/1014569,,,,,,,,,,249,
HOLLAND PARK,FALSE,TRUE,58 mins,51 mins,59 mins,52 mins,38 mins,55.00,60.00,58.00,51.00,59.00,52.00,38.00,1203026,51.503077,-0.203706,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1203026,,,,,,,,,,250,
STANLEY PARK,FALSE,FALSE,52 mins,59 mins,43 mins,1 hour 7 mins,58 mins,55.25,60.00,52.00,59.00,43.00,67.00,58.00,6002147,51.355757,-0.162737,FALSE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/6002147,,,,,,,,,,251,
ELMS LANE PLAYING FIELD,TRUE,TRUE,54 mins,48 mins,1 hour 4 mins,56 mins,34 mins,55.50,60.00,54.00,48.00,64.00,56.00,34.00,30003451,51.437965,-0.031616,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/30003451,,,,,,,,,,252,
ROEHAMPTON PLAYING FIELDS,TRUE,TRUE,55 mins,57 mins,48 mins,1 hour 2 mins,49 mins,55.50,60.00,55.00,57.00,48.00,62.00,49.00,1202480,51.453977,-0.23822,FALSE,TRUE,10,0,0,https://pitchfinder.org.uk/map/site/1202480,,,,,,,,,,253,
KEIR HARDIE RECREATION GROUND,FALSE,FALSE,51 mins,47 mins,1 hour 5 mins,59 mins,28 mins,55.50,60.00,51.00,47.00,65.00,59.00,28.00,30004373,51.51183,0.015595,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/30004373,,,,,,,,,,254,
UNIVERSITY OF WESTMINSTER (RIVER PITCHES),FALSE,TRUE,57 mins,52 mins,57 mins,56 mins,52 mins,55.50,60.00,57.00,52.00,57.00,56.00,52.00,1042134,51.474939,-0.268707,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1042134,,,,,,,,,,255,
PRENDERGAST SCHOOL GRASS PITCHES,FALSE,TRUE,1 hour 0 mins,54 mins,49 mins,1 hour 1 min,49 mins,56.00,60.00,60.00,54.00,49.00,61.00,49.00,1203260,51.434762,-0.007321,TRUE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/1203260,,,,,,,,,,256,
WHITGIFT SPORTS CLUB,TRUE,TRUE,1 hour 0 mins,53 mins,49 mins,1 hour 2 mins,37 mins,56.00,60.00,60.00,53.00,49.00,62.00,37.00,1202521,51.359448,-0.084711,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1202521,,,,,,,,,,257,
STC IVOR GROVE SPORTS CLUB,TRUE,TRUE,56 mins,45 mins,58 mins,1 hour 6 mins,31 mins,56.25,60.00,56.00,45.00,58.00,66.00,31.00,6011859,51.440096,0.065579,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6011859,,,,,,,,,,258,
NORTH SHEEN RECREATION GROUND,TRUE,TRUE,46 mins,48 mins,1 hour 2 mins,1 hour 9 mins,51 mins,56.25,60.00,46.00,48.00,62.00,69.00,51.00,6004145,51.470309,-0.285078,FALSE,TRUE,8,0,0,https://pitchfinder.org.uk/map/site/6004145,,,,,,,,,,259,
KING GEORGES PLAYING FIELDS (SIDCUP),FALSE,TRUE,57 mins,46 mins,59 mins,1 hour 3 mins,32 mins,56.25,60.00,57.00,46.00,59.00,63.00,32.00,6009171,51.433843,0.099175,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6009171,,,,,,,,,,260,
MANOR PARK (NEW MALDEN),FALSE,TRUE,52 mins,1 hour 6 mins,49 mins,59 mins,54 mins,56.50,60.00,52.00,66.00,49.00,59.00,54.00,1202983,51.386962,-0.25006,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/1202983,,,,,,,,,,261,
KINGSTON ROAD RECREATION GROUND,FALSE,FALSE,1 hour 2 mins,1 hour 0 mins,45 mins,1 hour 0 mins,55 mins,56.75,60.00,62.00,60.00,45.00,60.00,55.00,6009825,51.404034,-0.278377,FALSE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/6009825,,,,,,,,,,262,
KINGS COLLEGE SPORTS GROUND,FALSE,TRUE,1 hour 5 mins,53 mins,50 mins,1 hour 0 mins,56 mins,57.00,60.00,65.00,53.00,50.00,60.00,56.00,1200549,51.395423,-0.271639,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1200549,,,,,,,,,,263,
MILLWALL PARK,TRUE,TRUE,51 mins,45 mins,1 hour 8 mins,1 hour 5 mins,26 mins,57.25,60.00,51.00,45.00,68.00,65.00,26.00,6020696,51.489441,-0.01097,FALSE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/6020696,,,,,,,,,,264,
BARN ELMS SPORTS CENTRE,FALSE,TRUE,1 hour 0 mins,54 mins,55 mins,1 hour 0 mins,52 mins,57.25,60.00,60.00,54.00,55.00,60.00,52.00,1002835,51.475671,-0.230192,TRUE,TRUE,23,0,0,https://pitchfinder.org.uk/map/site/1002835,,,,,,,,,,265,
CHRISTS SCHOOL,TRUE,TRUE,49 mins,51 mins,1 hour 11 mins,58 mins,52 mins,57.25,60.00,49.00,51.00,71.00,58.00,52.00,1009884,51.458755,-0.288207,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1009884,,,,,,,,,,266,
CARVILLE HALL PARK NORTH,TRUE,TRUE,59 mins,52 mins,59 mins,59 mins,54 mins,57.25,60.00,59.00,52.00,59.00,59.00,54.00,6007946,51.492383,-0.295305,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/6007946,,,,,,,,,,267,
MILLWALL FC TRAINING GROUND,FALSE,TRUE,1 hour 5 mins,58 mins,54 mins,53 mins,50 mins,57.50,60.00,65.00,58.00,54.00,53.00,50.00,30003442,51.417491,-0.002772,TRUE,FALSE,4,0,0,https://pitchfinder.org.uk/map/site/30003442,,,,,,,,,,268,
OBERON SPORTS GROUND,FALSE,TRUE,47 mins,52 mins,1 hour 13 mins,58 mins,1 hour 8 mins,57.50,60.00,47.00,52.00,73.00,58.00,68.00,1201396,51.416521,-0.242693,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1201396,,,,,,,,,,269,
HILLY FIELDS,FALSE,FALSE,52 mins,45 mins,1 hour 9 mins,1 hour 5 mins,28 mins,57.75,60.00,52.00,45.00,69.00,65.00,28.00,6002401,51.461291,-0.025233,FALSE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6002401,,,,,,,,,,270,
HOME PARK,FALSE,TRUE,59 mins,51 mins,1 hour 11 mins,52 mins,32 mins,58.25,60.00,59.00,51.00,71.00,52.00,32.00,6002402,51.426746,-0.039079,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/6002402,,,,,,,,,,271,
DRAX PLAYING FIELDS,FALSE,TRUE,48 mins,52 mins,1 hour 12 mins,1 hour 2 mins,1 hour 9 mins,58.50,60.00,48.00,52.00,72.00,62.00,69.00,6016917,51.418323,-0.247919,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6016917,,,,,,,,,,272,
ST JAMES MAR THOMA COMMUNITY SPORTS CENTRE,FALSE,TRUE,59 mins,47 mins,1 hour 0 mins,1 hour 8 mins,34 mins,58.50,60.00,59.00,47.00,60.00,68.00,34.00,1040012,51.441785,0.079422,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1040012,,,,,,,,,,273,
EWELL CASTLE SCHOOL,FALSE,TRUE,51 mins,47 mins,1 hour 0 mins,1 hour 16 mins,1 hour 11 mins,58.50,60.00,51.00,47.00,60.00,76.00,71.00,1204497,51.35063,-0.246926,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1204497,,,,,,,,,,274,
